'NAME','PRICE','LABEL',
'Berentzen Fruchtige Apfelkorn','4.44','-31%',
'Durandel Grillschale3','5.99','-25%',
'Zarelo Kaminofen- und Grillanzünder','3.99','-20%',
'WC Frisch Duftswitch','1.99','-20%',
'WC Frisch Brilliant Gel','1.99','-20%',
'ja! Aluminium-Folie','3.79','Tiefpreis',
'ja! Geschirrtabs All-in-1','3.95','Tiefpreis',
'ja! Spülmittel','1.35','Tiefpreis',
'Kuschelweich Weichspüler','1.11','-30%',
'Men Expert Deospray','1.39','Aktion',
'Men Expert Deo Roll-On','1.39','Aktion',
'Duschdas Duschgel','0.77','-38%',
'Fa Deospray','0.99','-31%',
'Kuschelweich Weichspüler','1.11','-30%',
'Gliss Kur Shampoo','1.59','-20%',
'Wahre Schätze oder Fructis Shampoo','1.89','Aktion',
'Gourmet Perle oder A la Carte Katzennahrung','0.39','-29%',
'Felix Sensations','2.49','Aktion',
'Felix Katzennahrung','3.29','Aktion',
'Nelke1','4.79','Aktion',
'Bartnelken1','2.22','Aktion',
'Lavendel1','6.66','Aktion',
'Scheinmyrthe Trio oder Bornholmer Margerite1','1.79','Aktion',
